Time,Actual DP
13.01,0.01
13.02,0.01
13.03,0.02
13.04,0.02
13.05,0.03
13.06,0.04
13.07,0.04
13.08,0.05
13.09,0.05
13.1,0.06
13.11,0.06
13.12,0.07
13.13,0.08
13.14,0.08
13.15,0.09
13.16,0.09
13.17,0.1
13.18,0.1
13.19,0.11
13.2,0.12
13.21,0.12
13.22,0.13
13.23,0.13
13.24,0.14
13.25,0.14
13.26,0.15
13.27,0.16
13.28,0.16
13.29,0.17
13.3,0.17
13.31,0.18
13.32,0.18
13.33,0.19
13.34,0.2
13.35,0.2
13.36,0.21
13.37,0.21
13.38,0.22
13.39,0.22
13.4,0.23
13.41,0.24
13.42,0.24
13.43,0.25
13.44,0.25
13.45,0.26
13.46,0.26
13.47,0.27
13.48,0.28
13.49,0.28
13.5,0.29
13.5,0.29
13.51,0.29
13.52,0.29
13.53,0.29
13.54,0.29
13.55,0.29
13.56,0.29
13.57,0.29
13.58,0.29
13.59,0.29
13.6,0.29
13.61,0.29
13.62,0.29
13.63,0.29
13.64,0.29
13.65,0.29
13.66,0.29
13.67,0.29
13.68,0.29
13.69,0.29
13.7,0.29
13.71,0.29
13.72,0.29
13.73,0.29
13.74,0.29
13.75,0.29
13.76,0.29
13.77,0.29
13.78,0.29
13.79,0.29
13.8,0.29
13.81,0.29
13.82,0.29
13.83,0.29
13.84,0.29
13.85,0.29
13.86,0.29
13.87,0.29
13.88,0.29
13.89,0.29
13.9,0.29
13.91,0.29
13.92,0.29
13.93,0.29
13.94,0.29
13.95,0.29
13.96,0.29
13.97,0.29
13.98,0.29
13.99,0.29
14.0,0.29
14.01,0.29
14.02,0.29
14.03,0.29
14.04,0.29
14.05,0.29
14.06,0.29
14.07,0.29
14.08,0.29
14.09,0.29
14.1,0.29
14.11,0.29
14.12,0.29
14.13,0.29
14.14,0.29
14.15,0.29
14.16,0.29
14.17,0.29
14.18,0.29
14.19,0.29
14.2,0.29
14.21,0.29
14.22,0.29
14.23,0.29
14.24,0.29
14.25,0.29
14.26,0.29
14.27,0.29
14.28,0.29
14.29,0.29
14.3,0.29
14.31,0.29
14.32,0.29
14.33,0.29
14.34,0.29
14.35,0.29
14.36,0.29
14.37,0.29
14.38,0.29
14.39,0.29
14.4,0.29
14.41,0.29
14.42,0.29
14.43,0.29
14.44,0.29
14.45,0.29
14.46,0.29
14.47,0.29
14.48,0.29
14.49,0.29
14.5,0.29
14.51,0.29
14.52,0.29
14.53,0.29
14.54,0.29
14.55,0.29
14.56,0.29
14.57,0.29
14.58,0.29
14.59,0.29
14.6,0.29
14.61,0.29
14.62,0.29
14.63,0.29
14.64,0.29
14.65,0.29
14.66,0.29
14.67,0.29
14.68,0.29
14.69,0.29
14.7,0.29
14.71,0.29
14.72,0.29
14.73,0.29
14.74,0.29
14.75,0.29
14.76,0.29
14.77,0.29
14.78,0.29
14.79,0.29
14.8,0.29
14.81,0.29
14.82,0.29
14.83,0.29
14.84,0.29
14.85,0.29
14.86,0.29
14.87,0.29
14.88,0.29
14.89,0.29
14.9,0.29
14.91,0.29
14.92,0.29
14.93,0.29
14.94,0.29
14.95,0.29
14.96,0.29
14.97,0.29
14.98,0.29
14.99,0.29
15.0,0.29
15.01,0.29
15.02,0.29
15.03,0.29
15.04,0.29
15.05,0.29
15.06,0.29
15.07,0.29
15.08,0.29
15.09,0.29
15.1,0.29
15.11,0.29
15.12,0.29
15.13,0.29
15.14,0.29
15.15,0.29
15.16,0.29
15.17,0.29
15.18,0.29
15.19,0.29
15.2,0.29
15.21,0.29
15.22,0.29
15.23,0.29
15.24,0.29
15.25,0.29
15.26,0.29
15.27,0.29
15.28,0.29
15.29,0.29
15.3,0.29
15.31,0.29
15.32,0.29
15.33,0.29
15.34,0.29
15.35,0.29
15.36,0.29
15.37,0.29
15.38,0.29
15.39,0.29
15.4,0.29
15.41,0.29
15.42,0.29
15.43,0.29
15.44,0.29
15.45,0.29
15.46,0.29
15.47,0.29
15.48,0.29
15.49,0.29
15.5,0.29
15.51,0.29
15.52,0.29
15.53,0.29
15.54,0.29
15.55,0.29
15.56,0.29
15.57,0.29
15.58,0.29
15.59,0.29
15.6,0.29
15.61,0.29
15.62,0.29
15.63,0.29
15.64,0.29
15.65,0.29
15.66,0.29
15.67,0.29
15.68,0.29
15.69,0.29
15.7,0.29
15.71,0.29
15.72,0.29
15.73,0.29
15.74,0.29
15.75,0.29
15.76,0.29
15.77,0.29
15.78,0.29
15.79,0.29
15.8,0.29
15.81,0.29
15.82,0.29
15.83,0.29
15.84,0.29
15.85,0.29
15.86,0.29
15.87,0.29
15.88,0.29
15.89,0.29
15.9,0.29
15.91,0.29
15.92,0.29
15.93,0.29
15.94,0.29
15.95,0.29
15.96,0.29
15.97,0.29
15.98,0.29
15.99,0.29
16.0,0.29
16.01,0.29
16.02,0.29
16.03,0.29
16.04,0.29
16.05,0.29
16.06,0.29
16.07,0.29
16.08,0.29
16.09,0.29
16.1,0.29
16.11,0.29
16.12,0.29
16.13,0.29
16.14,0.29
16.15,0.29
16.16,0.29
16.17,0.29
16.18,0.29
16.19,0.29
16.2,0.29
16.21,0.29
16.22,0.29
16.23,0.29
16.24,0.29
16.25,0.29
16.26,0.29
16.27,0.29
16.28,0.29
16.29,0.29
16.3,0.29
16.31,0.29
16.32,0.29
16.33,0.29
16.34,0.29
16.35,0.29
16.36,0.29
16.37,0.29
16.38,0.29
16.39,0.29
16.4,0.29
16.41,0.29
16.42,0.29
16.43,0.29
16.44,0.29
16.45,0.29
16.46,0.29
16.47,0.29
16.48,0.29
16.49,0.29
16.5,0.29
16.51,0.29
16.52,0.29
16.53,0.29
16.54,0.29
16.55,0.29
16.56,0.29
16.57,0.29
16.58,0.29
16.59,0.29
16.6,0.29
16.61,0.29
16.62,0.29
16.63,0.29
16.64,0.29
16.65,0.29
16.66,0.29
16.67,0.29
16.68,0.29
