Time,Actual DP
13.02,0.04
13.03,0.05
13.04,0.07
13.04,0.09
13.06,0.11
13.07,0.13
13.08,0.15
13.09,0.17
13.1,0.18
13.11,0.2
13.12,0.22
13.12,0.24
13.14,0.26
13.15,0.28
13.16,0.3
13.17,0.31
13.17,0.33
13.19,0.35
13.2,0.37
13.21,0.39
13.22,0.41
13.22,0.43
13.23,0.44
13.25,0.46
13.26,0.48
13.27,0.5
13.27,0.52
13.28,0.54
13.3,0.56
13.31,0.58
13.32,0.59
13.32,0.61
13.34,0.63
13.34,0.65
13.35,0.67
13.37,0.69
13.38,0.71
13.39,0.72
13.39,0.74
13.41,0.76
13.42,0.78
13.42,0.8
13.43,0.82
13.44,0.84
13.45,0.85
13.47,0.87
13.47,0.89
13.49,0.91
13.49,0.93
13.5,0.95
13.5,0.93
13.52,0.93
13.52,0.93
13.54,0.93
13.55,0.93
13.56,0.93
13.57,0.93
13.58,0.93
13.59,0.93
13.6,0.93
13.61,0.93
13.62,0.93
13.63,0.93
13.64,0.93
13.64,0.93
13.66,0.93
13.66,0.93
13.68,0.93
13.68,0.93
13.7,0.93
13.71,0.93
13.71,0.93
13.72,0.93
13.74,0.93
13.74,0.93
13.75,0.93
13.77,0.93
13.78,0.93
13.78,0.93
13.79,0.93
13.81,0.93
13.82,0.93
13.82,0.93
13.84,0.93
13.85,0.93
13.86,0.93
13.87,0.93
13.88,0.93
13.89,0.93
13.89,0.93
13.91,0.93
13.91,0.93
13.93,0.93
13.94,0.93
13.95,0.93
13.96,0.93
13.97,0.93
13.98,0.93
13.99,0.93
14.0,0.93
14.01,0.93
14.02,0.93
14.02,0.93
14.04,0.93
14.04,0.93
14.05,0.93
14.07,0.93
14.07,0.93
14.08,0.93
14.1,0.93
14.1,0.93
14.11,0.93
14.12,0.93
14.13,0.93
14.15,0.93
14.15,0.93
14.16,0.93
14.17,0.93
14.18,0.93
14.19,0.93
14.2,0.93
14.21,0.93
14.23,0.93
14.24,0.93
14.25,0.93
14.26,0.93
14.27,0.93
14.28,0.93
14.29,0.93
14.3,0.93
14.3,0.93
14.3,0.93
14.32,0.93
14.34,0.93
14.34,0.93
14.35,0.93
14.37,0.93
14.37,0.93
14.38,0.93
14.38,0.93
14.4,0.93
14.41,0.93
14.41,0.93
14.43,0.93
14.45,0.93
14.46,0.93
14.47,0.93
14.47,0.93
14.48,0.93
14.49,0.93
14.51,0.93
14.51,0.93
14.52,0.93
14.54,0.93
14.54,0.93
14.55,0.93
14.55,0.93
14.57,0.93
14.59,0.93
14.59,0.93
14.6,0.93
14.62,0.93
14.62,0.93
14.63,0.93
14.63,0.93
14.65,0.93
14.66,0.93
14.68,0.93
14.69,0.93
14.7,0.93
14.7,0.93
14.71,0.93
14.71,0.93
14.73,0.93
14.74,0.93
14.74,0.93
14.76,0.93
14.78,0.93
14.79,0.93
14.79,0.93
14.81,0.93
14.81,0.93
14.82,0.93
14.82,0.93
14.84,0.93
14.85,0.93
14.85,0.93
14.87,0.93
14.89,0.93
14.89,0.93
14.9,0.93
14.9,0.93
14.92,0.93
14.93,0.93
14.93,0.93
14.95,0.93
14.97,0.93
14.98,0.93
14.99,0.93
14.99,0.93
15.0,0.93
15.01,0.93
15.03,0.93
15.03,0.93
15.04,0.93
15.05,0.93
15.05,0.93
15.08,0.93
15.09,0.93
15.09,0.93
15.1,0.93
15.1,0.93
15.13,0.93
15.14,0.93
15.14,0.93
15.15,0.93
15.17,0.93
15.18,0.93
15.19,0.93
15.19,0.93
15.21,0.93
15.22,0.93
15.22,0.93
15.23,0.93
15.25,0.93
15.26,0.93
15.26,0.93
15.27,0.93
15.29,0.93
15.3,0.93
15.3,0.93
15.32,0.93
15.33,0.93
15.34,0.93
15.34,0.93
15.35,0.93
15.36,0.93
15.38,0.93
15.38,0.93
15.39,0.93
15.4,0.93
15.42,0.93
15.43,0.93
15.44,0.93
15.44,0.93
15.45,0.93
15.46,0.93
15.47,0.93
15.49,0.93
15.5,0.93
15.51,0.93
15.52,0.93
15.53,0.93
15.53,0.93
15.54,0.93
15.56,0.93
15.56,0.93
15.57,0.93
15.58,0.93
15.6,0.93
15.6,0.93
15.61,0.93
15.63,0.93
15.63,0.93
15.63,0.93
15.65,0.93
15.67,0.93
15.67,0.93
15.68,0.93
15.69,0.93
15.7,0.93
15.71,0.93
15.72,0.93
15.73,0.93
15.75,0.93
15.75,0.93
15.76,0.93
15.77,0.93
15.78,0.93
15.79,0.93
15.8,0.93
15.81,0.93
15.82,0.93
15.83,0.93
15.84,0.93
15.84,0.93
15.86,0.93
15.87,0.93
15.87,0.93
15.89,0.93
15.9,0.93
15.91,0.93
15.92,0.93
15.94,0.93
15.94,0.93
15.95,0.93
15.95,0.93
15.97,0.93
15.98,0.93
15.99,0.93
16.0,0.93
16.02,0.93
16.03,0.93
16.03,0.93
16.05,0.93
16.05,0.93
16.07,0.93
16.07,0.93
16.08,0.93
16.09,0.93
16.1,0.93
16.11,0.93
16.12,0.93
16.13,0.93
16.15,0.93
16.15,0.93
16.16,0.93
16.17,0.93
16.18,0.93
16.19,0.93
16.2,0.93
16.21,0.93
16.22,0.93
16.23,0.93
16.24,0.93
16.25,0.93
16.26,0.93
16.28,0.93
16.28,0.93
16.29,0.93
16.3,0.93
16.31,0.93
16.32,0.93
16.33,0.93
16.34,0.93
16.35,0.93
16.37,0.93
16.37,0.93
16.38,0.93
16.39,0.93
16.41,0.93
16.41,0.93
16.42,0.93
16.43,0.93
16.45,0.93
16.45,0.93
16.46,0.93
16.47,0.93
16.48,0.93
16.49,0.93
16.5,0.93
16.51,0.93
16.52,0.93
16.54,0.93
16.54,0.93
16.54,0.93
16.56,0.93
16.57,0.93
16.58,0.93
16.6,0.93
16.6,0.93
16.61,0.93
16.62,0.93
16.63,0.93
16.64,0.93
16.65,0.93
16.66,0.93
16.67,0.93
16.68,0.93
16.69,0.93
16.7,0.93
16.71,0.93
16.72,0.93
16.73,0.93
16.75,0.93
16.75,0.93
16.76,0.93
16.76,0.93
16.78,0.93
16.79,0.93
16.8,0.93
16.81,0.93
16.82,0.93
16.83,0.93
16.84,0.93
16.85,0.93
16.86,0.93
16.87,0.93
16.88,0.93
16.89,0.93
16.9,0.93
16.9,0.93
16.92,0.93
16.93,0.93
16.94,0.93
16.95,0.93
16.96,0.93
16.97,0.93
16.98,0.93
16.99,0.93
17.0,0.93
17.01,0.93
17.02,0.93
17.03,0.93
17.04,0.93
17.05,0.93
17.06,0.93
17.07,0.93
17.08,0.93
17.09,0.93
17.1,0.93
17.11,0.93
17.12,0.93
17.13,0.93
17.14,0.93
17.15,0.93
17.16,0.93
17.17,0.93
17.18,0.93
17.19,0.93
17.2,0.93
17.2,0.93
17.22,0.93
17.23,0.93
17.24,0.93
17.25,0.93
17.25,0.93
17.27,0.93
17.28,0.93
17.29,0.93
17.3,0.93
17.31,0.93
17.32,0.93
17.33,0.93
17.34,0.93
17.35,0.93
17.36,0.93
17.37,0.93
17.38,0.93
17.39,0.93
17.4,0.93
17.41,0.93
17.42,0.93
17.43,0.93
17.44,0.93
17.45,0.93
17.46,0.93
17.47,0.93
17.48,0.93
17.49,0.93
17.49,0.93
17.51,0.93
17.52,0.93
17.52,0.93
17.54,0.93
17.55,0.93
17.55,0.93
17.57,0.93
17.58,0.93
17.59,0.93
17.6,0.93
17.61,0.93
17.62,0.93
17.63,0.93
17.64,0.93
17.65,0.93
17.66,0.93
17.67,0.93
17.68,0.93
17.69,0.93
17.7,0.93
17.71,0.93
17.72,0.93
17.73,0.93
17.74,0.93
17.75,0.93
17.76,0.93
17.77,0.93
17.78,0.93
17.79,0.93
17.8,0.93
17.8,0.93
17.81,0.93
17.83,0.93
17.84,0.93
17.85,0.93
17.86,0.93
17.87,0.93
17.88,0.93
17.89,0.93
17.9,0.93
17.91,0.93
17.92,0.93
17.93,0.93
17.94,0.93
17.95,0.93
17.96,0.93
17.97,0.93
17.97,0.93
17.99,0.93
18.0,0.93
18.01,0.93
18.02,0.93
18.03,0.93
18.04,0.93
18.05,0.93
18.06,0.93
18.07,0.93
18.08,0.93
18.09,0.93
18.1,0.93
18.11,0.93
18.12,0.93
18.13,0.93
18.14,0.93
18.15,0.93
18.16,0.93
18.17,0.93
18.18,0.93
18.19,0.93
18.2,0.93
18.2,0.93
18.21,0.93
18.23,0.93
18.24,0.93
18.25,0.93
18.26,0.93
18.27,0.93
18.28,0.93
18.29,0.93
18.3,0.93
18.31,0.93
18.32,0.93
18.33,0.93
18.34,0.93
18.35,0.93
18.36,0.93
18.37,0.93
18.38,0.93
18.39,0.93
18.4,0.93
18.4,0.93
18.42,0.93
18.42,0.93
18.44,0.93
18.45,0.93
18.46,0.93
18.47,0.93
18.48,0.93
18.49,0.93
18.5,0.93
18.51,0.93
18.52,0.93
18.53,0.93
18.53,0.93
18.55,0.93
18.56,0.93
18.57,0.93
18.58,0.93
18.59,0.93
18.6,0.93
18.61,0.93
18.62,0.93
18.63,0.93
18.64,0.93
18.65,0.93
18.66,0.93
18.66,0.93
18.67,0.93
18.69,0.93
18.7,0.93
18.71,0.93
18.72,0.93
18.72,0.93
18.74,0.93
18.74,0.93
18.75,0.93
18.77,0.93
18.77,0.93
18.79,0.93
18.79,0.93
18.81,0.93
18.82,0.93
18.82,0.93
18.84,0.93
18.85,0.93
18.85,0.93
18.87,0.93
18.88,0.93
18.89,0.93
18.9,0.93
18.9,0.93
18.91,0.93
18.93,0.93
18.93,0.93
18.94,0.93
18.96,0.93
18.96,0.93
18.98,0.93
18.98,0.93
18.99,0.93
19.01,0.93
19.01,0.93
19.03,0.93
19.04,0.93
19.04,0.93
19.06,0.93
19.07,0.93
19.07,0.93
19.09,0.93
19.09,0.93
19.1,0.93
19.12,0.93
19.13,0.93
19.13,0.93
19.15,0.93
19.16,0.93
19.17,0.93
19.18,0.93
19.19,0.93
19.2,0.93
19.21,0.93
19.22,0.93
19.23,0.93
19.24,0.93
19.25,0.93
19.26,0.93
