Time,Actual DP
13.55,0.01
13.56,0.02
13.57,0.03
13.58,0.04
13.59,0.05
13.6,0.06
13.61,0.06
13.62,0.07
13.63,0.08
13.64,0.09
13.65,0.1
13.66,0.11
13.67,0.12
13.68,0.12
13.69,0.13
13.7,0.14
13.71,0.15
13.72,0.16
13.73,0.17
13.74,0.18
13.75,0.18
13.76,0.19
13.77,0.2
13.78,0.21
13.79,0.22
13.8,0.23
13.81,0.24
13.82,0.25
13.83,0.25
13.84,0.26
13.85,0.27
13.86,0.28
13.87,0.29
13.88,0.3
13.89,0.31
13.9,0.31
13.91,0.32
13.92,0.33
13.93,0.34
13.94,0.35
13.95,0.36
13.96,0.37
13.97,0.37
13.98,0.38
13.99,0.39
14.0,0.4
14.01,0.41
14.02,0.42
14.03,0.43
14.04,0.44
14.04,0.43
14.05,0.43
14.06,0.43
14.07,0.43
14.08,0.43
14.09,0.43
14.1,0.43
14.11,0.43
14.12,0.43
14.13,0.43
14.14,0.43
14.15,0.43
14.16,0.43
14.17,0.43
14.18,0.43
14.19,0.43
14.2,0.43
14.21,0.43
14.22,0.43
14.23,0.43
14.24,0.43
14.25,0.43
14.26,0.43
14.27,0.43
14.28,0.43
14.29,0.43
14.3,0.43
14.31,0.43
14.32,0.43
14.33,0.43
14.34,0.43
14.35,0.43
14.36,0.43
14.37,0.43
14.38,0.43
14.39,0.43
14.4,0.43
14.41,0.43
14.42,0.43
14.43,0.43
14.44,0.43
14.45,0.43
14.46,0.43
14.47,0.43
14.48,0.43
14.49,0.43
14.5,0.43
14.51,0.43
14.52,0.43
14.53,0.43
14.54,0.43
14.55,0.43
14.56,0.43
14.57,0.43
14.58,0.43
14.59,0.43
14.6,0.43
14.61,0.43
14.62,0.43
14.63,0.43
14.64,0.43
14.65,0.43
14.66,0.43
14.67,0.43
14.68,0.43
14.7,0.43
14.7,0.43
14.71,0.43
14.72,0.43
14.73,0.43
14.74,0.43
14.75,0.43
14.76,0.43
14.77,0.43
14.78,0.43
14.8,0.43
14.81,0.43
14.82,0.43
14.83,0.43
14.84,0.43
14.85,0.43
14.86,0.43
14.87,0.43
14.88,0.43
14.89,0.43
14.89,0.43
14.9,0.43
14.91,0.43
14.92,0.43
14.93,0.43
14.94,0.43
14.95,0.43
14.96,0.43
14.97,0.43
14.98,0.43
15.0,0.43
15.01,0.43
15.02,0.43
15.03,0.43
15.04,0.43
15.05,0.43
15.06,0.43
15.07,0.43
15.08,0.43
15.09,0.43
15.1,0.43
15.1,0.43
15.11,0.43
15.12,0.43
15.13,0.43
15.14,0.43
15.15,0.43
15.16,0.43
15.17,0.43
15.19,0.43
15.2,0.43
15.21,0.43
15.22,0.43
15.23,0.43
15.24,0.43
15.25,0.43
15.26,0.43
15.27,0.43
15.28,0.43
15.29,0.43
15.3,0.43
15.31,0.43
15.32,0.43
15.33,0.43
15.34,0.43
15.35,0.43
15.36,0.43
15.37,0.43
15.38,0.43
15.39,0.43
15.4,0.43
15.41,0.43
15.42,0.43
15.43,0.43
15.44,0.43
15.45,0.43
15.46,0.43
15.47,0.43
15.48,0.43
15.49,0.43
15.5,0.43
15.51,0.43
15.52,0.43
15.53,0.43
15.54,0.43
15.55,0.43
15.56,0.43
15.57,0.43
15.58,0.43
15.59,0.43
15.6,0.43
15.61,0.43
15.62,0.43
15.63,0.43
15.64,0.43
15.65,0.43
15.66,0.43
15.67,0.43
15.68,0.43
15.69,0.43
15.7,0.43
15.71,0.43
15.72,0.43
15.73,0.43
15.74,0.43
15.75,0.43
15.76,0.43
15.77,0.43
15.78,0.43
15.79,0.43
15.8,0.43
15.81,0.43
15.82,0.43
15.83,0.43
15.84,0.43
15.85,0.43
15.86,0.43
15.87,0.43
15.88,0.43
15.89,0.43
15.9,0.43
15.91,0.43
15.92,0.43
15.93,0.43
15.94,0.43
15.95,0.43
15.96,0.43
15.97,0.43
15.98,0.43
15.99,0.43
16.0,0.43
16.01,0.43
16.02,0.43
16.03,0.43
16.04,0.43
16.05,0.43
16.06,0.43
16.07,0.43
16.08,0.43
16.09,0.43
16.1,0.43
16.11,0.43
16.12,0.43
16.13,0.43
16.14,0.43
16.15,0.43
16.16,0.43
16.17,0.43
16.18,0.43
16.19,0.43
16.2,0.43
16.21,0.43
16.22,0.43
16.23,0.43
16.24,0.43
16.25,0.43
16.26,0.43
16.27,0.43
16.28,0.43
16.29,0.43
16.3,0.43
16.31,0.43
16.32,0.43
16.33,0.43
16.34,0.43
16.35,0.43
16.36,0.43
16.37,0.43
16.38,0.43
16.39,0.43
16.4,0.43
16.41,0.43
16.42,0.43
16.43,0.43
16.44,0.43
16.45,0.43
16.46,0.43
16.47,0.43
16.48,0.43
16.49,0.43
16.5,0.43
16.51,0.43
16.52,0.43
16.53,0.43
16.54,0.43
16.55,0.43
16.56,0.43
16.57,0.43
16.58,0.43
16.59,0.43
16.6,0.43
16.61,0.43
16.62,0.43
16.63,0.43
16.64,0.43
16.65,0.43
16.66,0.43
16.67,0.43
16.68,0.43
16.69,0.43
16.7,0.43
16.71,0.43
16.72,0.43
16.73,0.43
16.74,0.43
16.75,0.43
16.76,0.43
16.77,0.43
16.78,0.43
16.79,0.43
16.8,0.43
16.81,0.43
16.82,0.43
16.83,0.43
16.84,0.43
16.85,0.43
16.86,0.43
16.87,0.43
16.88,0.43
16.89,0.43
16.9,0.43
16.91,0.43
16.92,0.43
16.93,0.43
16.94,0.43
16.95,0.43
16.96,0.43
16.97,0.43
16.98,0.43
16.99,0.43
17.0,0.43
17.01,0.43
17.02,0.43
17.03,0.43
17.04,0.43
17.05,0.43
17.06,0.43
17.07,0.43
17.08,0.43
17.09,0.43
17.1,0.43
17.11,0.43
17.12,0.43
17.13,0.43
17.14,0.43
17.15,0.43
17.16,0.43
17.17,0.43
17.18,0.43
17.19,0.43
17.2,0.43
17.21,0.43
17.22,0.43
17.23,0.43
17.24,0.43
17.25,0.43
17.26,0.43
17.27,0.43
17.28,0.43
17.29,0.43
17.3,0.43
17.31,0.43
17.32,0.43
17.33,0.43
17.34,0.43
17.35,0.43
17.36,0.43
17.37,0.43
17.38,0.43
17.39,0.43
17.4,0.43
17.41,0.43
17.42,0.43
17.43,0.43
17.44,0.43
17.45,0.43
17.46,0.43
17.47,0.43
17.48,0.43
17.49,0.43
17.5,0.43
17.51,0.43
