timestamp,pyros,servos,servos_deg,accelerometer,barofilteredalt,temp,gyro,gps_fix,lat,lon,gpsalt,gps_horiz_prec,gps_vert_prec,gps_num_sat,flight_time,yaw_gyro_int,pitch_gyro_int,roll_gyro_int,state,pktnum,rssi,armed_pyros,fired_pyros,badpackets,rxrssi,accel_integrated_velo,baro_max_alt,gps_max_alt,pyro_resistances,cell_voltages,total_current,converter_voltages,converter_currents,bms_protections_enabled,bms_protection_status,bms_temp,enabled_status,angleFromVertical,gnd_lat,gnd_lon,gnd_fix,gnd_alt
1775203477.8716013,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.215186421875, 0.07125144140625, 1.51390159375]",0.0,30.92495216369629,"[0.0, 4.7302246086, 7.53784179564]",3,0.0,0.0,0.0,4294967.295,3750015.744,0,6239,8.95230770111084,1.5959964990615845,0.0,state.GROUND_TESTING,96,-24,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-25,0.0,0,0,"[10.4, 0.6, 16.5, 10.8, 16.5, 15.9, 0, 0]","[4.131, 4.127, 4.125]",0.142,"[2.9952, 3.3104, 5.0016, 7.3696, 8.4336, 27.8272]","[0.00625, 0.649375, 0.001875, -0.000625, 0.004375, -0.00375]",132,0,27.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",9.092318441570901,43.12652,-103.81497,False,9948.97
1775203477.9211118,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.2167187109375, 0.06742071875, 1.49628026953125]",0.0,30.90309242248535,"[0.0, 1.3732910154, -1.2207031248]",3,0.0,0.0,0.0,4294967.295,3750015.744,0,6293,9.035146713256836,1.8711904287338257,0.0,state.GROUND_TESTING,97,-24,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-25,0.0,0,0,"[10.2, 0.6, 16.5, 10.4, 15.9, 17.0, 0, 0]","[4.131, 4.127, 4.124]",0.15,"[2.9952, 3.3120000000000003, 5.0032000000000005, 7.3632, 8.4368, 27.8256]","[-0.00125, 0.229375, -0.0025, -0.00125, -0.005, 0.00125]",132,0,28.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",9.225299812495733,43.1262,-103.81461,False,9948.85
1775203477.9802976,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.21135569921875, 0.07738059765625, 1.4924495468749999]",0.0,30.951183853149413,"[0.0, -0.94604492172, 3.63159179628]",3,0.0,0.0,0.0,4294967.295,3750015.744,0,6353,9.148444175720215,2.3283774852752686,0.0,state.GROUND_TESTING,98,-24,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-25,0.0,0,0,"[10.6, 0.6, 16.5, 10.4, 15.5, 17.6, 0, 0]","[4.131, 4.127, 4.124]",0.15,"[2.9952, 3.3120000000000003, 5.0032000000000005, 7.3632, 8.4368, 27.8256]","[-0.00125, 0.229375, -0.0025, -0.00125, -0.005, 0.00125]",132,0,28.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",9.437648926064117,43.12587,-103.81426,False,9948.73
1775203478.0405278,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.201395820312499, 0.0842758984375, 1.52999062890625]",0.0,30.9555558013916,"[0.0, -3.38745117132, 10.5285644514]",3,0.0,0.0,0.0,4294967.295,3750015.744,0,6413,9.500167846679688,2.380268096923828,0.0,state.GROUND_TESTING,99,-23,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-25,0.0,0,0,"[10.4, 0.6, 16.5, 10.8, 15.9, 17.0, 0, 0]","[4.131, 4.127, 4.124]",0.15,"[2.9984, 3.3120000000000003, 5.0032000000000005, 7.36, 8.4528, 27.8288]","[0.00625, 0.25, -0.00125, -0.00125, -0.001875, -0.00125]",132,0,28.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",9.791161443060433,43.12587,-103.81426,False,9948.73
1775203478.1044984,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.2289770234375, 0.07125144140625, 1.4832558125]",0.0,30.916208267211914,"[0.0, -2.34985351524, -10.92529296696]",3,0.0,0.0,0.0,4294967.295,3750015.744,0,6473,9.307685852050781,2.454866647720337,0.0,state.GROUND_TESTING,100,-24,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-25,0.0,0,0,"[10.6, 0.6, 17.0, 10.4, 17.0, 15.9, 0, 0]","[4.131, 4.127, 4.124]",0.15,"[2.9968000000000004, 3.3120000000000003, 5.0048, 7.356800000000001, 8.4608, 27.8256]","[0.008125, 0.216875, -0.0025, -0.004375, 0.0, 0.0]",132,0,28.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",9.623215387855511,43.12555,-103.8139,False,9948.61
1775203478.1615503,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.205992687499998, 0.08350975390625, 1.5177323164062497]",0.0,30.933696060180665,"[0.0, -8.88061523292, -25.45166015208]",3,0.0,0.0,0.0,4294967.295,3750015.744,0,6527,9.093802452087402,2.542358160018921,0.0,state.GROUND_TESTING,101,-23,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-25,0.0,0,0,"[10.4, 0.6, 16.5, 11.1, 15.0, 16.5, 0, 0]","[4.131, 4.127, 4.124]",0.15,"[2.9968000000000004, 3.3120000000000003, 5.0048, 7.356800000000001, 8.4608, 27.8256]","[0.008125, 0.216875, -0.0025, -0.004375, 0.0, 0.0]",132,0,28.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",9.439621540284255,43.12555,-103.8139,False,9948.61
1775203478.2135394,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.22974316796875, 0.08504204296875001, 1.4801912343749999]",0.0,30.933696060180665,"[0.0, 6.5002441395599995, -1.77001953096]",3,0.0,0.0,0.0,4294967.295,3750015.744,0,6587,8.972052574157715,2.5021002292633057,0.0,state.GROUND_TESTING,102,-24,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-25,0.0,0,0,"[10.4, 0.6, 16.5, 10.8, 15.9, 16.5, 0, 0]","[4.131, 4.127, 4.124]",0.15,"[2.9952, 3.3120000000000003, 5.0064, 7.3632, 8.4496, 27.8304]","[-0.00125, 0.240625, -0.003125, -0.000625, 0.00125, -0.00375]",132,0,28.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",9.311657818056128,43.41737,-103.30855,False,10057.27
1775203478.2750697,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.21901714453125, 0.055928550781249996, 1.52615990625]",0.0,30.964299697875976,"[0.0, 6.31713867084, -9.24682617036]",3,0.0,0.0,0.0,4294967.295,3750015.744,0,6647,9.06299877166748,2.554596185684204,0.0,state.GROUND_TESTING,103,-24,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-25,0.0,0,0,"[10.4, 0.6, 15.9, 10.8, 15.9, 17.0, 0, 0]","[4.131, 4.127, 4.124]",0.15,"[2.9952, 3.3120000000000003, 5.0064, 7.3632, 8.4496, 27.8304]","[-0.00125, 0.240625, -0.003125, -0.000625, 0.00125, -0.00375]",132,0,28.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",9.413255668957241,43.41706,-103.30819,False,10057.15
1775203478.34059,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.202928109375, 0.07354987499999999, 1.5177323164062497]",0.0,30.929324111938477,"[0.0, -1.9836425778, 10.89477538884]",3,0.0,0.0,0.0,4294967.295,3750015.744,0,6707,9.16856861114502,2.596104860305786,0.0,state.GROUND_TESTING,104,-23,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-25,0.0,0,0,"[10.4, 0.6, 15.9, 11.1, 15.5, 17.0, 0, 0]","[4.131, 4.127, 4.124]",0.15,"[2.9968000000000004, 3.3120000000000003, 5.0048, 7.364800000000001, 8.441600000000001, 27.824]","[0.004375, 0.6675, -0.000625, -0.00625, -0.00375, -0.00125]",132,0,28.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",9.526005264903798,43.41706,-103.30819,False,10057.15
1775203478.3946037,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.20675883203125, 0.09193734375, 1.5200307499999999]",0.0,30.938068008422853,"[0.0, -1.80053710908, -5.70678710844]",3,0.0,0.0,0.0,4294967.295,3750015.744,0,6761,9.016561508178711,2.6988799571990967,0.0,state.GROUND_TESTING,105,-24,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,0.0,0,0,"[10.2, 0.6, 16.5, 10.8, 15.0, 16.5, 0, 0]","[4.131, 4.127, 4.124]",0.15,"[2.9968000000000004, 3.3120000000000003, 5.0048, 7.364800000000001, 8.441600000000001, 27.824]","[0.004375, 0.6675, -0.000625, -0.00625, -0.00375, -0.00125]",132,0,28.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",9.408618245846442,43.12457,-103.81284,False,9948.25
