timestamp,pyros,servos,servos_deg,accelerometer,barofilteredalt,temp,gyro,gps_fix,lat,lon,gpsalt,gps_horiz_prec,gps_vert_prec,gps_num_sat,flight_time,yaw_gyro_int,pitch_gyro_int,roll_gyro_int,state,pktnum,rssi,armed_pyros,fired_pyros,badpackets,rxrssi,accel_integrated_velo,baro_max_alt,gps_max_alt,pyro_resistances,cell_voltages,total_current,converter_voltages,converter_currents,bms_protections_enabled,bms_protection_status,bms_temp,enabled_status,angleFromVertical,gnd_lat,gnd_lon,gnd_fix,gnd_alt
1775195022.845506,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.242767624999999, 0.21605275781249997, 0.04903325]",-162.6691436767578,33.32515174865723,"[-10.77270507636, 0.03051757812, -15.62499999744]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,84917,50.75714874267578,64.72189331054688,-3.8519842624664307,state.GROUND_TESTING,1441,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.654451608657837,0,0,"[10.4, 0.7, 16.5, 11.1, 16.5, 17.0, 0, 0]","[3.933, 3.931, 3.931]",0.157,"[2.9968000000000004, 3.3136, 5.0032000000000005, 7.3584000000000005, 8.443200000000001, 27.8288]","[0.011875, 0.69375, 0.000625, -0.00125, -0.00125, 0.0]",132,0,29.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",74.32789349277236,0.0,0.0,False,0.0
1775195022.8888195,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.23280774609375, 0.2037944453125, 0.015322890625]",-162.50784301757812,33.32077980041504,"[-0.24414062496, 6.5002441395599995, 12.14599609176]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,84977,51.17948913574219,64.78108978271484,-3.7302231788635254,state.GROUND_TESTING,1442,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6556675434112549,0,0,"[10.2, 0.7, 16.5, 10.4, 15.5, 17.6, 0, 0]","[3.933, 3.931, 3.931]",0.157,"[2.9968000000000004, 3.3136, 5.0032000000000005, 7.36, 8.4784, 27.8256]","[0.013125, 0.70125, -0.004375, 0.003125, -0.000625, -0.003125]",132,0,29.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",74.50817442378799,0.0,0.0,False,0.0
1775195022.947333,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.22974316796875, 0.21988348046875, 0.04520252734374999]",-162.55897521972656,33.31203590393066,"[8.30078124864, 5.2795410147599995, 5.98144531152]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85037,51.07634353637695,64.75119018554688,-3.862333059310913,state.GROUND_TESTING,1443,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6568671464920044,0,0,"[10.4, 0.7, 16.5, 10.6, 15.5, 15.9, 0, 0]","[3.933, 3.931, 3.931]",0.157,"[2.9968000000000004, 3.3136, 5.0032000000000005, 7.36, 8.4784, 27.8256]","[0.013125, 0.70125, -0.004375, 0.003125, -0.000625, -0.003125]",132,0,29.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",74.45502839490011,0.0,0.0,False,0.0
1775195023.0113323,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.2351061796875, 0.2313756484375, 0.03064578125]",-162.88980102539062,33.33826759338379,"[12.268066404239999, -7.90405273308, -8.361816404879999]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85097,50.8239631652832,65.14550018310547,-4.024982452392578,state.GROUND_TESTING,1444,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6581156253814697,0,0,"[10.4, 0.7, 17.0, 10.8, 15.5, 17.6, 0, 0]","[3.933, 3.931, 3.931]",0.157,"[2.9952, 3.3120000000000003, 5.0032000000000005, 7.364800000000001, 8.4448, 27.822400000000002]","[0.00375, 0.6975, -0.001875, 0.000625, 0.003125, -0.001875]",132,0,29.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",74.6024210167794,0.0,0.0,False,0.0
1775195023.0598488,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.247364492187499, 0.21988348046875, 0.0291134921875]",-162.5592041015625,33.31203590393066,"[-6.68334960828, -2.41088867148, -5.9509277334]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85151,50.691104888916016,65.23168182373047,-4.081592559814453,state.GROUND_TESTING,1445,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6586246490478516,0,0,"[10.4, 0.7, 17.0, 10.6, 15.9, 16.5, 0, 0]","[3.933, 3.931, 3.931]",0.157,"[2.9952, 3.3120000000000003, 5.0032000000000005, 7.364800000000001, 8.4448, 27.822400000000002]","[0.00375, 0.6975, -0.001875, 0.000625, 0.003125, -0.001875]",132,0,29.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",74.6089637939951,0.0,0.0,False,0.0
1775195023.1203747,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.24046919140625, 0.22218191406249999, 0.022218191406249997]",-162.54896545410156,33.32515174865723,"[-3.44848632756, -3.57055664004, 1.89208984344]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85211,50.750282287597656,65.4959945678711,-3.9958324432373047,state.GROUND_TESTING,1446,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6598081588745117,0,0,"[10.2, 0.7, 16.5, 10.6, 15.9, 16.5, 0, 0]","[3.933, 3.931, 3.931]",0.157,"[2.9952, 3.3104, 5.0048, 7.3696, 8.475200000000001, 27.8288]","[0.000625, 0.21, 0.000625, -0.000625, -0.0025, -0.004375]",132,0,29.0,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",74.78645594883997,0.0,0.0,False,0.0
1775195023.1795447,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.2305093125, 0.21298817968749997, 0.0383072265625]",-162.48129272460938,33.30329200744629,"[-8.117675779919999, 5.70678710844, -8.361816404879999]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85271,50.93212127685547,65.50822448730469,-3.8063127994537354,state.GROUND_TESTING,1447,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6611539125442505,0,0,"[10.4, 0.7, 15.9, 10.6, 16.5, 17.0, 0, 0]","[3.934, 3.932, 3.933]",0.292,"[2.9984, 3.3104, 5.0048, 7.368, 8.457600000000001, 27.8256]","[0.0075, 0.20375000000000001, 0.000625, -0.00375, -0.003125, -0.005625]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",74.85431731567019,0.0,0.0,False,0.0
1775195023.2405436,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.2197832890625, 0.21758504687499997, 0.032178070312499994]",-162.38401794433594,33.329523696899415,"[0.3051757812, -3.38745117132, -1.46484374976]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85331,51.14022445678711,65.52958679199219,-3.875886917114258,state.GROUND_TESTING,1448,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6625728607177734,0,0,"[10.6, 0.8, 15.9, 10.8, 15.0, 17.0, 0, 0]","[3.934, 3.932, 3.933]",0.292,"[2.9984, 3.3104, 5.0048, 7.368, 8.457600000000001, 27.8256]","[0.0075, 0.20375000000000001, 0.000625, -0.00375, -0.003125, -0.005625]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",74.93643237517328,0.0,0.0,False,0.0
1775195023.2930532,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.2504290703125, 0.22218191406249999, 0.0168551796875]",-162.31199645996094,33.31640785217285,"[1.73950195284, -1.43432617164, 8.605957029839999]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85385,51.31254196166992,65.43492889404297,-3.936004638671875,state.GROUND_TESTING,1449,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6636521816253662,0,0,"[10.6, 0.7, 17.6, 10.4, 15.9, 16.5, 0, 0]","[3.934, 3.932, 3.933]",0.292,"[2.9936000000000003, 3.3120000000000003, 5.008, 7.3664000000000005, 8.4608, 27.824]","[0.00875, 0.241875, -0.003125, -0.0025, -0.004375, -0.003125]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",74.93831208577849,0.0,0.0,False,0.0
1775195023.354575,"[1, 1, 1, 1, 1, 1]","[941, 1500, 1495, 1350]","[np.float64(-67.08), np.float64(0.0), np.float64(-0.5), np.float64(-15.0)]","[9.2381707578125, 0.20456058984374997, 0.0291134921875]",-162.57080078125,33.307663955688476,"[1.55639648412, -1.80053710908, -0.73242187488]",0,0.0,0.0,0.0,4294967.295,3750007.808,0,85445,51.47428512573242,65.4263916015625,-3.9878807067871094,state.GROUND_TESTING,1450,-22,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,-24,-1.6651684045791626,0,0,"[10.4, 0.7, 17.0, 10.6, 15.5, 18.2, 0, 0]","[3.934, 3.932, 3.933]",0.292,"[2.9936000000000003, 3.3120000000000003, 5.008, 7.3664000000000005, 8.4608, 27.824]","[0.00875, 0.241875, -0.003125, -0.0025, -0.004375, -0.003125]",132,0,28.5,"[np.True_, np.True_, np.True_, np.True_, np.True_, np.True_]",74.98771281895894,0.0,0.0,False,0.0
