Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,155.03,0,0,96.13,110.9984,2.409789,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.7018395,0,1817.99,155.03,0,0,96.11945,110.9984,2.4115,345.120793262861,345.120793262233,0.000658503617133335,15.0704987343726,3.451208,0.000006585036,89.9999,89.9999,0.01725604,0.00000003292518
0.02,S,0.02,0.01311251,0,0.66469,0,1820.9,154.9879,0.03105631,0,96.10889,110.9984,2.41321,345.820933223047,345.820933222418,0.000659725591500073,16.215712512465,6.909417,0.00001318229,89.9999,89.9999,0.06905916,0.0000001317618
0.03,S,0.03,0.01410894,0,0.6551449,0,1823.704,154.9035,0.03543921,0,96.09834,110.9984,2.41492,346.608466477372,346.608466476742,0.000661100101296298,17.968318875843,10.3755,0.00001979329,89.9999,89.9999,0.1554838,0.0000002966397
0.04,S,0.04,0.01563384,0,0.6421055,0,1827.227,154.819,0.04264763,0,96.08779,110.9984,2.41663,347.545791114932,347.5457911143,0.000662736041079352,20.1756975181192,13.85096,0.00002642065,89.9999,89.9999,0.276616,0.0000005277094
0.05,S,0.05,0.01755444,0,0.6278383,0,1830.632,154.7343,0.05257472,0,96.07724,110.9984,2.41834,348.459508457062,348.459508456429,0.000664330778661155,22.709715236846,17.33555,0.00003306396,89.9999,89.9999,0.4325486,0.0000008251325
0.05999999,S,0.05999999,0.01975925,0,0.6137474,0,1833.879,154.6495,0.06511532,0,96.06669,110.9984,2.42005,349.341236070099,349.341236069464,0.000665869683966083,25.4765704596308,20.82896,0.00003972266,89.9999,89.9999,0.6233711,0.000001189066
0.06999999,S,0.06999999,0.02216664,0,0.6004988,0,1837.989,154.5645,0.08017918,0,96.05614,110.9984,2.42176,350.403311015159,350.403311014523,0.000667723349433717,28.4131072914163,24.33299,0.00004639989,89.9999,89.9999,0.8491809,0.000001619678
0.07999999,S,0.07999999,0.02472168,0,0.5883147,0,1841.606,154.4794,0.09770387,0,96.04559,110.9984,2.42347,351.363693156237,351.363693155599,0.000669399533414394,31.4745176670412,27.84663,0.00005309389,89.9999,89.9999,1.110079,0.000002117147
0.08999999,S,0.08999999,0.02738538,0,0.5772166,0,1845.883,154.3941,0.11763,0,96.03503,110.9984,2.42518,352.462865110337,352.462865109698,0.000671317951671648,34.6318727615048,31.37126,0.00005980707,89.9999,89.9999,1.406168,0.000002681652
0.09999999,S,0.09999999,0.03013257,0,0.5671271,0,1850.029,154.3086,0.1399232,0,96.02448,110.9984,2.426891,353.535858077816,353.535858077175,0.000673190679342932,37.8640063162972,34.90662,0.00006653897,89.9999,89.9999,1.737558,0.000003313382
0.11,S,0.11,0.03294482,0,0.5579453,0,1854.131,154.2229,0.1645499,0,96.01393,110.9984,2.428601,354.600749104519,354.600749103876,0.000675049261268934,41.1559935668375,38.45263,0.00007328946,89.9999,89.9999,2.104354,0.000004012524
0.12,S,0.12,0.03580916,0,0.549565,0,1858.144,154.137,0.1914844,0,96.00338,110.9984,2.430311,355.648367607885,355.648367607241,0.000676877702903659,44.4969276933341,42.00911,0.00008005824,89.9999,89.9999,2.506663,0.000004779263
0.13,S,0.13,0.03871611,0,0.5418887,0,1862.411,154.0509,0.2207055,0,95.99283,110.9984,2.432021,356.750097182992,356.750097182346,0.000678800580975541,47.8794196853589,45.57661,0.00008684624,89.9999,89.9999,2.944591,0.000005613785
0.14,S,0.14,0.04165922,0,0.5348279,0,1865.94,153.9646,0.2522023,0,95.98228,110.9984,2.433731,357.698984810553,357.698984809906,0.000680456705488892,51.2960821400811,49.1536,0.00009365081,89.9999,89.9999,3.418242,0.00000651627
0.15,S,0.15,0.04463208,0,0.5283102,0,1870.102,153.8781,0.2859489,0,95.97173,110.9984,2.435441,358.781249927455,358.781249926806,0.000682345612427668,54.743658801296,52.74141,0.0001004743,89.9999,89.9999,3.927717,0.000007486896
0.16,S,0.16,0.04763186,0,0.5222681,0,1874.007,153.7915,0.321948,0,95.96117,110.9984,2.437151,359.810947354165,359.810947353515,0.000684142771803082,58.2181549409025,56.33952,0.0001073157,89.9999,89.9999,4.473122,0.000008525846
